"SAMPLE_ID";"Formation_name";"orig.form.nr";"form.nr";"K1";"K2";"K.mid";"Lat";"Long";"Data_collection_1";"Data_collection_2";"Total";"num.with.colonies";"std.weight";"std.area";"Species_Aimulosia_marsupium";"Species_Antarctothoa_tongima";"Species_Arachnopusia_unicornis";"Species_Bitectipora_rostrata";"Species_Calloporina_angustipora";"Species_Escharella_spinosissima";"Species_Escharoides_angela";"Species_Escharoides_excavata";"Species_Exochella_armata";"Species_Exochella_conjuncta";"Species_Fenestrulina_reticulata";"Species_Figularia_carinata";"Species_Hippomenella_vellicata";"Species_Microporella_aff_speculum";"Species_Microporella_agonistes";"Species_Microporella_discors";"Species_Microporella_intermedia";"Species_Microporella_rusti";"Species_Microporella_speculum";"Species_Prenantia_firmata";"Species_Steginoporella_magnifica";"Species_Superspecies";"Unidentified_Microporella";"Genus_Aimulosia";"Genus_Antarctothoa";"Genus_Arachnopusia";"Genus_Bitectipora";"Genus_Calloporina";"Genus_Escharella";"Genus_Escharoides";"Genus_Exochella";"Genus_Fenestrulina";"Genus_Figularia";"Genus_Hippomenella";"Genus_Microporella";"Genus_Prenantia";"Genus_Steginoporella"
"83";"Lower Castlecliff Shellbed";10;6;0.52;0.58;0.55;39.90465;174.937766666667;"MHR";"EDM";50;0;82.1234167552827;77.3902127247514;5;0;5;0;15;0;0;0;0;1;10;0;0;0;18;0;0;0;19;0;0;158;5;5;0;5;0;15;0;0;1;10;0;0;42;0;0
"84";"Lower Castlecliff Shellbed";10;6;0.52;0.58;0.55;39.9049166666667;174.938033333333;"MHR";"EDM";50;0;55.5266283743105;59.5607310610272;2;0;4;0;33;0;0;0;0;3;3;0;0;0;39;0;0;0;18;0;0;160;5;2;0;4;0;33;0;0;3;3;0;0;62;0;0
"85";"Lower Castlecliff Shellbed";10;6;0.52;0.58;0.55;39.9036833333333;174.93565;"MHR";"EDM";50;0;76.2825266136525;76.3916077881852;3;1;5;0;16;0;0;0;0;2;9;0;0;0;5;0;0;0;5;0;0;115;2;3;1;5;0;16;0;0;2;9;0;0;12;0;0
"86";"Nukumaru Brown Sand";39;2;1.97;2.03;2;39.8289833333333;175.138283333333;"MHR";"EDM";30;0;52.8011455163773;47.549519395763;0;1;0;0;0;0;0;6;0;1;0;0;0;0;5;0;0;0;0;0;6;58;19;0;1;0;0;0;0;6;1;0;0;0;24;0;6
"87";"Nukumaru Brown Sand";39;2;1.97;2.03;2;39.8284;175.146216666667;"MHR";"EDM";30;0;27.4007938596953;30.9749886093271;5;32;4;0;1;11;2;1;0;0;1;0;1;0;1;0;0;0;0;0;1;107;2;5;32;4;0;1;11;3;0;1;0;1;3;0;1
"88";"Nukumaru Limestone";40;1;2.08;2.29;2.185;39.8659;174.7631;"MHR";"EDM";30;0;60.3185967424378;51.6513887657976;1;12;4;0;0;5;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;111;0;1;12;4;0;0;5;24;0;0;0;0;0;0;0
"89";"Nukumaru Limestone";40;1;2.08;2.29;2.185;39.8658166666667;174.763233333333;"MHR";"EDM";30;0;32.851560169441;36.8693771468482;2;51;15;0;0;1;0;12;0;0;0;0;0;0;0;0;0;4;0;0;0;123;1;2;51;15;0;0;1;12;0;0;0;0;5;0;0
"9";"Tainui Shellbed";7;7;0.43;0.51;0.47;39.9176833333333;174.955783333333;"MHR";"EDM";50;0;39.0468519607592;45.668648162447;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;20;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
"90";"Nukumaru Limestone";40;1;2.08;2.29;2.185;39.8657333333333;174.763666666667;"MHR";"EDM";30;0;62.5615267585466;55.8325606851764;1;22;5;0;1;15;4;19;0;0;0;0;0;0;0;0;0;1;0;0;0;34;0;1;22;5;0;1;15;23;0;0;0;0;1;0;0
"91";"Nukumaru Limestone";40;1;2.08;2.29;2.185;39.8642333333333;174.770816666667;"MHR";"EDM";30;0;105.602291032755;81.6552915446508;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
